id,title,year,views,detail_link,thumbnail_url,cast,youtube_id,description
537,Kekal Belay,2014,186,https://yageru.com/info.php?pID=537&movNM=Kekal Belay,https://yageru.com/images/yt_movies/low_res/m537.jpg,"[{""name"": ""Tariku Birhanu"", ""profile_image"": ""https://yageru.com/images/artists/a4.jpg""}, {""name"": ""Yonas Solomon"", ""profile_image"": ""https://yageru.com/images/artists/a131.jpg""}]",F_FDIr5Jqtg,N/A
545,Fikir Be Radio,2013,188,https://yageru.com/info.php?pID=545&movNM=Fikir Be Radio,https://yageru.com/images/blank_mov.jpg,"[{""name"": ""Yohannes Tefera"", ""profile_image"": ""https://yageru.com/images/artists/a11.jpg""}, {""name"": ""Girma Tadesse"", ""profile_image"": ""https://yageru.com/images/artists/a50.jpg""}, {""name"": ""Tomas Beyene"", ""profile_image"": ""https://yageru.com/images/artists/a190.jpg""}, {""name"": ""Elizabeth Getachew"", ""profile_image"": ""https://yageru.com/images/artists/a63.jpg""}, {""name"": ""Teshale Worku"", ""profile_image"": ""https://yageru.com/images/artists/a147.jpg""}]",Q7-HgfoYdL4,N/A
550,Yemejemeriaye,2014,155,https://yageru.com/info.php?pID=550&movNM=Yemejemeriaye,https://yageru.com/images/yt_movies/low_res/m550.jpg,"[{""name"": ""Samson Mekonnen"", ""profile_image"": ""https://yageru.com/images/artists/a140.jpg""}, {""name"": ""Addisalem Getaneh"", ""profile_image"": ""https://yageru.com/images/artists/a22.jpg""}, {""name"": ""Welela Assefa"", ""profile_image"": ""https://yageru.com/images/artists/a108.jpg""}]",HQkGAxKUuHM,N/A
549,Yetsehay Mewcha Lijoch (Sons of Sunrise),2016,454,https://yageru.com/info.php?pID=549&movNM=Yetsehay Mewcha Lijoch (Sons of Sunrise),https://yageru.com/images/yt_movies/low_res/m549.jpg,"[{""name"": ""Solomon Bogale"", ""profile_image"": ""https://yageru.com/images/artists/a16.jpg""}, {""name"": ""Girum Ermias"", ""profile_image"": ""https://yageru.com/images/artists/a68.jpg""}, {""name"": ""Birtukan Befekadu"", ""profile_image"": ""https://yageru.com/images/artists/a128.jpg""}]",Avy24tmiPkI,N/A
548,Yefikir Menged,2014,275,https://yageru.com/info.php?pID=548&movNM=Yefikir Menged,https://yageru.com/images/yt_movies/low_res/m548.jpg,"[{""name"": ""Samson Tadesse (Baby)"", ""profile_image"": ""https://yageru.com/images/artists/a36.jpg""}, {""name"": ""Getahun Solomon"", ""profile_image"": ""https://yageru.com/images/artists/a117.jpg""}, {""name"": ""Yigerem Dejene (Aster)"", ""profile_image"": ""https://yageru.com/images/artists/a13.jpg""}, {""name"": ""Dagmawit Tsehaye"", ""profile_image"": ""https://yageru.com/images/artists/a359.jpg""}]",N/A,N/A
544,Lamb,2015,57,https://yageru.com/info.php?pID=544&movNM=Lamb,https://yageru.com/images/blank_mov.jpg,"[{""name"": ""Welela Assefa"", ""profile_image"": ""https://yageru.com/images/artists/a108.jpg""}, {""name"": ""Solomon Teka"", ""profile_image"": ""https://yageru.com/images/artists/a73.jpg""}, {""name"": ""Surafel Teka"", ""profile_image"": ""https://yageru.com/images/artists/a191.jpg""}]",v29pkqBmaIo,N/A
547,Mihiret,2015,116,https://yageru.com/info.php?pID=547&movNM=Mihiret,https://yageru.com/images/yt_movies/low_res/m547.jpg,"[{""name"": ""Shimelis Abera (Joro)"", ""profile_image"": ""https://yageru.com/images/artists/a169.jpg""}, {""name"": ""Genet Nigatu"", ""profile_image"": ""https://yageru.com/images/artists/a180.jpg""}, {""name"": ""Bahren Kedir"", ""profile_image"": ""https://yageru.com/images/artists/a217.jpg""}]",qlig3SlJfWg,N/A
543,Amaregn,2013,600,https://yageru.com/info.php?pID=543&movNM=Amaregn,https://yageru.com/images/yt_movies/low_res/m543.jpg,"[{""name"": ""Amanuel Habtamu"", ""profile_image"": ""https://yageru.com/images/artists/a102.jpg""}, {""name"": ""Bayush Kebede (Mitu)"", ""profile_image"": ""https://yageru.com/images/artists/a115.jpg""}, {""name"": ""Kassahun Fisseha (Mandela)"", ""profile_image"": ""https://yageru.com/images/artists/a5.jpg""}, {""name"": ""Mekonnen Leake"", ""profile_image"": ""https://yageru.com/images/artists/a6.jpg""}, {""name"": ""Yohannes Tefera"", ""profile_image"": ""https://yageru.com/images/artists/a11.jpg""}, {""name"": ""Biniyam Bekele"", ""profile_image"": ""https://yageru.com/images/artists/a139.jpg""}, {""name"": ""Frehiwot Bahiru"", ""profile_image"": ""https://yageru.com/images/artists/a141.jpg""}, {""name"": ""Getachew Ejigu (Janwar)"", ""profile_image"": ""https://yageru.com/images/artists/a81.jpg""}, {""name"": ""Sintayehu Arega"", ""profile_image"": ""https://yageru.com/images/artists/a314.jpg""}]",XaMmHpV_n40,N/A
542,Balageru,2012,267,https://yageru.com/info.php?pID=542&movNM=Balageru,https://yageru.com/images/yt_movies/low_res/m542.jpg,"[{""name"": ""Kassahun Fisseha (Mandela)"", ""profile_image"": ""https://yageru.com/images/artists/a5.jpg""}, {""name"": ""Tariku Birhanu"", ""profile_image"": ""https://yageru.com/images/artists/a4.jpg""}]",fhjHZchX4Qw,N/A
546,Tegaletin,2015,83,https://yageru.com/info.php?pID=546&movNM=Tegaletin,https://yageru.com/images/blank_mov.jpg,"[{""name"": ""Almaz Haile"", ""profile_image"": ""https://yageru.com/images/artists/a109.jpg""}, {""name"": ""Frehiwot Bahiru"", ""profile_image"": ""https://yageru.com/images/artists/a141.jpg""}]",N/A,N/A
541,Mirkiz Bekel,2006,244,https://yageru.com/info.php?pID=541&movNM=Mirkiz Bekel,https://yageru.com/images/blank_mov.jpg,"[{""name"": ""Admasu Kebede"", ""profile_image"": ""https://yageru.com/images/artists/a69.jpg""}, {""name"": ""Enkusilassie Workagegnehu"", ""profile_image"": ""https://yageru.com/images/artists/a167.jpg""}, {""name"": ""Aster Alemayehu"", ""profile_image"": ""https://yageru.com/images/artists/a326.jpg""}]",N/A,N/A
